     2    0.11458E+04    0.49195E-01    0.14774E-05    0.31314E+01
     3    0.10639E+04    0.79631E-01    0.29482E-05    0.39498E+01
     4    0.98999E+03    0.88299E-01    0.49040E-05    0.40654E+01
     5    0.93353E+03    0.76913E-01    0.73476E-05    0.37636E+01
     6    0.89279E+03    0.55528E-01    0.10279E-04    0.32678E+01
     7    0.86443E+03    0.34442E-01    0.13704E-04    0.27197E+01
     8    0.84506E+03    0.19563E-01    0.17619E-04    0.22030E+01
     9    0.83374E+03    0.11791E-01    0.22029E-04    0.17665E+01
    10    0.82742E+03    0.89525E-02    0.26930E-04    0.14280E+01
    11    0.82501E+03    0.82084E-02    0.32330E-04    0.11960E+01
    12    0.82654E+03    0.76711E-02    0.38222E-04    0.10648E+01
    13    0.83044E+03    0.67731E-02    0.44617E-04    0.10154E+01
    14    0.83594E+03    0.57892E-02    0.51504E-04    0.10243E+01
    15    0.84310E+03    0.51545E-02    0.58901E-04    0.10698E+01
    16    0.84430E+03    0.50205E-02    0.66790E-04    0.11215E+01
    17    0.86007E+03    0.52994E-02    0.75194E-04    0.11988E+01
    18    0.87254E+03    0.56937E-02    0.84092E-04    0.12652E+01
    19    0.88471E+03    0.60463E-02    0.93509E-04    0.13207E+01
    20    0.89711E+03    0.63660E-02    0.10342E-03    0.13665E+01
    21    0.91017E+03    0.67729E-02    0.11386E-03    0.14057E+01
    22    0.92387E+03    0.74031E-02    0.12479E-03    0.14401E+01
    23    0.93783E+03    0.83293E-02    0.13625E-03    0.14734E+01
    24    0.95211E+03    0.95461E-02    0.14821E-03    0.15104E+01
    25    0.96686E+03    0.11002E-01    0.16070E-03    0.15534E+01
    26    0.98195E+03    0.12648E-01    0.17369E-03    0.16017E+01
    27    0.99734E+03    0.14467E-01    0.18722E-03    0.16526E+01
    28    0.10132E+04    0.16474E-01    0.20124E-03    0.17033E+01
    29    0.10293E+04    0.18673E-01    0.21581E-03    0.17510E+01
    30    0.10455E+04    0.21053E-01    0.23087E-03    0.17926E+01
    31    0.10619E+04    0.23589E-01    0.24648E-03    0.18246E+01
    32    0.10787E+04    0.26264E-01    0.26258E-03    0.18447E+01
    33    0.10956E+04    0.29081E-01    0.27925E-03    0.18514E+01
    34    0.11129E+04    0.32072E-01    0.29639E-03    0.18455E+01
    35    0.11305E+04    0.35272E-01    0.31410E-03    0.18281E+01
    36    0.11482E+04    0.38712E-01    0.33230E-03    0.17997E+01
    37    0.11660E+04    0.42412E-01    0.35106E-03    0.17612E+01
    38    0.11841E+04    0.46384E-01    0.37030E-03    0.17144E+01
    39    0.12024E+04    0.50625E-01    0.39012E-03    0.16601E+01
    40    0.12209E+04    0.55132E-01    0.41041E-03    0.15986E+01
    41    0.12397E+04    0.59903E-01    0.43128E-03    0.15301E+01
    42    0.12586E+04    0.64935E-01    0.45262E-03    0.14533E+01
    43    0.12777E+04    0.70224E-01    0.47455E-03    0.13662E+01
    44    0.12970E+04    0.75769E-01    0.49694E-03    0.12674E+01
    45    0.13165E+04    0.81566E-01    0.51993E-03    0.11558E+01
    46    0.13362E+04    0.87613E-01    0.54336E-03    0.10304E+01
    47    0.13561E+04    0.93909E-01    0.56741E-03    0.89071E+00
    48    0.13761E+04    0.10047E+00    0.59189E-03    0.73670E+00
    49    0.13964E+04    0.10730E+00    0.61699E-03    0.56869E+00
    50    0.14169E+04    0.11441E+00    0.64252E-03    0.38704E+00
    51    0.14377E+04    0.12182E+00    0.66867E-03    0.19244E+00
    52    0.14586E+04    0.12953E+00    0.69525E-03   -0.14371E-01
    53    0.14796E+04    0.13753E+00    0.72245E-03   -0.23272E+00
    54    0.15008E+04    0.14583E+00    0.75007E-03   -0.46227E+00
    55    0.15222E+04    0.15442E+00    0.77832E-03   -0.70274E+00
    56    0.15439E+04    0.16329E+00    0.80698E-03   -0.95415E+00
    57    0.15658E+04    0.17243E+00    0.83629E-03   -0.12175E+01
    58    0.15879E+04    0.18184E+00    0.86599E-03   -0.14941E+01
    59    0.16102E+04    0.19150E+00    0.89634E-03   -0.17850E+01
    60    0.16326E+04    0.20142E+00    0.92708E-03   -0.20901E+01
    61    0.16552E+04    0.21162E+00    0.95848E-03   -0.24091E+01
    62    0.16780E+04    0.22208E+00    0.99026E-03   -0.27415E+01
