     2    0.10748E+04    0.32165E+01    0.45160E-01    0.19184E-05    0.52361E-07
     3    0.10159E+04    0.38951E+01    0.69998E-01    0.38373E-05    0.63679E-07
     4    0.95768E+03    0.39081E+01    0.74385E-01    0.63966E-05    0.73331E-07
     5    0.91271E+03    0.35464E+01    0.61859E-01    0.95972E-05    0.81697E-07
     6    0.88057E+03    0.30262E+01    0.42516E-01    0.13440E-04    0.88995E-07
     7    0.85897E+03    0.24816E+01    0.25248E-01    0.17925E-04    0.95418E-07
     8    0.84515E+03    0.19911E+01    0.14157E-01    0.23055E-04    0.10110E-06
     9    0.83737E+03    0.15908E+01    0.89459E-02    0.28830E-04    0.10616E-06
    10    0.83426E+03    0.12960E+01    0.72077E-02    0.35252E-04    0.11066E-06
    11    0.83433E+03    0.11082E+01    0.66168E-02    0.42323E-04    0.11470E-06
    12    0.83794E+03    0.10188E+01    0.60433E-02    0.50044E-04    0.11831E-06
    13    0.84337E+03    0.10017E+01    0.51744E-02    0.58416E-04    0.12154E-06
    14    0.84969E+03    0.10276E+01    0.45354E-02    0.67443E-04    0.12444E-06
    15    0.85725E+03    0.10799E+01    0.42758E-02    0.77125E-04    0.12705E-06
    16    0.86653E+03    0.11465E+01    0.43761E-02    0.87464E-04    0.12938E-06
    17    0.87748E+03    0.12163E+01    0.47373E-02    0.98463E-04    0.13147E-06
    18    0.88913E+03    0.12816E+01    0.50938E-02    0.11012E-03    0.13335E-06
    19    0.90232E+03    0.13397E+01    0.54394E-02    0.12245E-03    0.13503E-06
    20    0.91536E+03    0.13877E+01    0.58880E-02    0.13544E-03    0.13651E-06
    21    0.92862E+03    0.14322E+01    0.65066E-02    0.14909E-03    0.13782E-06
    22    0.94241E+03    0.14794E+01    0.74073E-02    0.16342E-03    0.13899E-06
    23    0.95652E+03    0.15303E+01    0.85718E-02    0.17842E-03    0.14002E-06
    24    0.97102E+03    0.15846E+01    0.99268E-02    0.19409E-03    0.14091E-06
    25    0.98586E+03    0.16422E+01    0.11481E-01    0.21043E-03    0.14169E-06
    26    0.10009E+04    0.17037E+01    0.13221E-01    0.22745E-03    0.14236E-06
    27    0.10163E+04    0.17647E+01    0.15128E-01    0.24515E-03    0.14293E-06
    28    0.10320E+04    0.18215E+01    0.17207E-01    0.26353E-03    0.14341E-06
    29    0.10479E+04    0.18717E+01    0.19458E-01    0.28259E-03    0.14379E-06
    30    0.10641E+04    0.19127E+01    0.21887E-01    0.30233E-03    0.14409E-06
    31    0.10804E+04    0.19436E+01    0.24481E-01    0.32275E-03    0.14431E-06
    32    0.10971E+04    0.19637E+01    0.27228E-01    0.34386E-03    0.14446E-06
    33    0.11141E+04    0.19705E+01    0.30156E-01    0.36565E-03    0.14455E-06
    34    0.11312E+04    0.19634E+01    0.33315E-01    0.38812E-03    0.14457E-06
    35    0.11486E+04    0.19481E+01    0.36733E-01    0.41128E-03    0.14455E-06
    36    0.11659E+04    0.19288E+01    0.40431E-01    0.43513E-03    0.14447E-06
    37    0.11833E+04    0.19019E+01    0.44375E-01    0.45966E-03    0.14434E-06
    38    0.12012E+04    0.18649E+01    0.48535E-01    0.48488E-03    0.14417E-06
    39    0.12194E+04    0.18183E+01    0.52928E-01    0.51078E-03    0.14396E-06
    40    0.12377E+04    0.17634E+01    0.57590E-01    0.53736E-03    0.14371E-06
    41    0.12562E+04    0.17008E+01    0.62551E-01    0.56463E-03    0.14342E-06
    42    0.12748E+04    0.16285E+01    0.67810E-01    0.59259E-03    0.14309E-06
    43    0.12934E+04    0.15443E+01    0.73357E-01    0.62123E-03    0.14273E-06
    44    0.13121E+04    0.14465E+01    0.79166E-01    0.65055E-03    0.14234E-06
    45    0.13311E+04    0.13339E+01    0.85224E-01    0.68055E-03    0.14193E-06
    46    0.13504E+04    0.12036E+01    0.91523E-01    0.71123E-03    0.14148E-06
    47    0.13698E+04    0.10576E+01    0.98072E-01    0.74259E-03    0.14102E-06
    48    0.13893E+04    0.90123E+00    0.10489E+00    0.77463E-03    0.14053E-06
    49    0.14089E+04    0.73962E+00    0.11198E+00    0.80735E-03    0.14002E-06
    50    0.14290E+04    0.57094E+00    0.11932E+00    0.84075E-03    0.13949E-06
    51    0.14492E+04    0.39159E+00    0.12690E+00    0.87482E-03    0.13895E-06
    52    0.14697E+04    0.19639E+00    0.13480E+00    0.90956E-03    0.13839E-06
    53    0.14903E+04   -0.18358E-01    0.14316E+00    0.94498E-03    0.13781E-06
    54    0.15108E+04   -0.24842E+00    0.15195E+00    0.98106E-03    0.13722E-06
    55    0.15314E+04   -0.48942E+00    0.16116E+00    0.10178E-02    0.13662E-06
    56    0.15523E+04   -0.74313E+00    0.17061E+00    0.10553E-02    0.13601E-06
